cluster_size,block_id,sm_id,cluster_id
4,18,24,4
4,47,55,11
4,108,102,27
4,100,98,25
4,101,99,25
4,49,41,12
4,19,25,4
4,48,40,12
4,79,87,19
4,78,86,19
4,106,114,26
4,50,56,12
4,107,115,26
4,104,100,26
4,51,57,12
4,105,101,26
4,96,96,24
4,1,1,0
4,0,0,0
4,32,32,8
4,33,33,8
4,3,17,0
4,2,16,0
4,129,135,32
4,89,79,22
4,128,134,32
4,88,78,22
4,29,15,7
4,35,49,8
4,28,14,7
4,31,31,7
4,34,48,8
4,30,30,7
4,60,46,15
4,130,140,32
4,91,93,22
4,61,47,15
4,131,141,32
4,90,92,22
4,118,120,29
4,62,62,15
4,119,121,29
4,63,63,15
4,117,107,29
4,116,106,29
4,124,132,31
4,84,76,21
4,125,133,31
4,85,77,21
4,25,13,6
4,64,66,16
4,24,12,6
4,26,28,6
4,65,67,16
4,5,3,1
4,4,2,1
4,27,29,6
4,57,45,14
4,126,138,31
4,36,34,9
4,66,80,16
4,86,90,21
4,56,44,14
4,37,35,9
4,127,139,31
4,67,81,16
4,6,18,1
4,87,91,21
4,7,19,1
4,114,118,28
4,59,61,14
4,94,108,23
4,39,51,9
4,115,119,28
4,58,60,14
4,95,109,23
4,38,50,9
4,112,104,28
4,92,94,23
4,113,105,28
4,93,95,23
4,132,24,33
4,133,25,33
4,136,32,34
4,138,64,34
4,139,65,34
4,135,129,33
4,134,128,33
4,137,33,34
4,141,67,35
4,140,66,35
4,145,41,36
4,147,87,36
4,146,86,36
4,143,123,35
4,142,122,35
4,144,40,36
